Density,Process,Growth Form,Size Class,Treatment Method,Terrain,PPD
0.01,Initial,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Riparian,0.00850
0.01,Initial,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Landscape,0.00850
0.01,Initial,Aquatic weed,All,Spray from shoreline (knapsack),Riparian,0.01700
0.01,Initial,Aquatic weed,All,Spray from shoreline (knapsack),Landscape,0.01700
0.01,Initial,Cactus,Adult,Cut & Spray,Riparian,0.00166
0.01,Initial,Cactus,Adult,Cut & Spray,Landscape,0.00110
0.01,Initial,Cactus,Adult,Stem inject,Riparian,0.00110
0.01,Initial,Cactus,Adult,Stem inject,Landscape,0.00110
0.01,Initial,Cactus,Seedling,Dig out and burn,Riparian,0.00110
0.01,Initial,Cactus,Seedling,Dig out and burn,Landscape,0.00110
0.01,Initial,Cactus,Seedling,Hand pull,Riparian,0.00068
0.01,Initial,Cactus,Seedling,Hand pull,Landscape,0.00068
0.01,Initial,Cactus,Young,Foliar Spray,Riparian,0.00068
0.01,Initial,Cactus,Young,Foliar Spray,Landscape,0.00068
0.01,Initial,Cactus,Young,Stem inject,Riparian,0.00068
0.01,Initial,Cactus,Young,Stem inject,Landscape,0.00068
0.01,Initial,Creeper,Adult,Basal Stem + diesel,Riparian,0.00068
0.01,Initial,Creeper,Adult,Basal Stem + diesel,Landscape,0.00068
0.01,Initial,Creeper,Adult,Cut & Spray,Riparian,0.00166
0.01,Initial,Creeper,Adult,Cut & Spray,Landscape,0.00110
0.01,Initial,Creeper,Adult,Cut & Spray + diesel,Riparian,0.00166
0.01,Initial,Creeper,Adult,Cut & Spray + diesel,Landscape,0.00110
0.01,Initial,Creeper,Seedling,Hand pull,Riparian,0.00068
0.01,Initial,Creeper,Seedling,Hand pull,Landscape,0.00068
0.01,Initial,Creeper,Young,Foliar Spray,Riparian,0.00068
0.01,Initial,Creeper,Young,Foliar Spray,Landscape,0.00068
0.01,Initial,Grass,Adult,Cut & Spray,Riparian,0.00110
0.01,Initial,Grass,Adult,Cut & Spray,Landscape,0.00110
0.01,Initial,Grass,Seedling,Hand pull,Riparian,0.00068
0.01,Initial,Grass,Seedling,Hand pull,Landscape,0.00068
0.01,Initial,Grass,Young,Foliar Spray,Riparian,0.00054
0.01,Initial,Grass,Young,Foliar Spray,Landscape,0.00054
0.01,Initial,Herbaceous,Adult,Basal Stem + diesel,Riparian,0.00068
0.01,Initial,Herbaceous,Adult,Basal Stem + diesel,Landscape,0.00068
0.01,Initial,Herbaceous,Adult,Cut & Spray,Riparian,0.00166
0.01,Initial,Herbaceous,Adult,Cut & Spray,Landscape,0.00110
0.01,Initial,Herbaceous,Adult,Cut & Spray + diesel,Riparian,0.00166
0.01,Initial,Herbaceous,Adult,Cut & Spray + diesel,Landscape,0.00110
0.01,Initial,Herbaceous,Seedling,Hand pull,Riparian,0.00068
0.01,Initial,Herbaceous,Seedling,Hand pull,Landscape,0.00068
0.01,Initial,Herbaceous,Young,Cut below ground,Riparian,0.00110
0.01,Initial,Herbaceous,Young,Cut below ground,Landscape,0.00110
0.01,Initial,Herbaceous,Young,Foliar Spray,Landscape,0.00068
0.01,Initial,Herbaceous,Young,Foliar Spray,Riparian,0.00068
0.01,Initial,Non sprouting tree,Adult,Felling,Riparian,0.00270
0.01,Initial,Non sprouting tree,Adult,Felling,Landscape,0.00180
0.01,Initial,Non sprouting tree,Adult,Ring bark,Riparian,0.00146
0.01,Initial,Non sprouting tree,Adult,Ring bark,Landscape,0.00146
0.01,Initial,Non sprouting tree,Seedling,Foliar Spray,Riparian,0.00054
0.01,Initial,Non sprouting tree,Seedling,Foliar Spray,Landscape,0.00054
0.01,Initial,Non sprouting tree,Seedling,Hand pull,Riparian,0.00068
0.01,Initial,Non sprouting tree,Seedling,Hand pull,Landscape,0.00068
0.01,Initial,Non sprouting tree,Young,Lopping / Pruning,Riparian,0.00166
0.01,Initial,Non sprouting tree,Young,Lopping / Pruning,Landscape,0.00110
0.01,Initial,Sprouting tree,Adult,Bark Strip,Riparian,0.00210
0.01,Initial,Sprouting tree,Adult,Bark Strip,Landscape,0.00210
0.01,Initial,Sprouting tree,Adult,Basal Stem + diesel,Riparian,0.00068
0.01,Initial,Sprouting tree,Adult,Basal Stem + diesel,Landscape,0.00068
0.01,Initial,Sprouting tree,Adult,Cut stump,Riparian,0.00392
0.01,Initial,Sprouting tree,Adult,Cut stump,Landscape,0.00262
0.01,Initial,Sprouting tree,Adult,Cut stump + diesel,Riparian,0.00392
0.01,Initial,Sprouting tree,Adult,Cut stump + diesel,Landscape,0.00262
0.01,Initial,Sprouting tree,Adult,Cut stump + oil,Riparian,0.00392
0.01,Initial,Sprouting tree,Adult,Cut stump + oil,Landscape,0.00262
0.01,Initial,Sprouting tree,Adult,Frill,Riparian,0.00210
0.01,Initial,Sprouting tree,Adult,Frill,Landscape,0.00210
0.01,Initial,Sprouting tree,Seedling,Foliar Spray,Riparian,0.00054
0.01,Initial,Sprouting tree,Seedling,Foliar Spray,Landscape,0.00054
0.01,Initial,Sprouting tree,Seedling,Hand pull,Riparian,0.00068
0.01,Initial,Sprouting tree,Seedling,Hand pull,Landscape,0.00068
0.01,Initial,Sprouting tree,Young,Bark Strip,Landscape,0.00180
0.01,Initial,Sprouting tree,Young,Bark Strip,Riparian,0.00180
0.01,Initial,Sprouting tree,Young,Basal Stem + diesel,Riparian,0.00068
0.01,Initial,Sprouting tree,Young,Basal Stem + diesel,Landscape,0.00068
0.01,Initial,Sprouting tree,Young,Lopping / Pruning,Riparian,0.00238
0.01,Initial,Sprouting tree,Young,Lopping / Pruning,Landscape,0.00160
0.02,Follow-up,All,All,Soil application,Landscape,0.00220
0.02,Follow-up,All,All,Soil application,Riparian,0.00220
0.02,Follow-up,Aquatic weed,All,Manual Removal,Riparian,0.04000
0.02,Follow-up,Aquatic weed,All,Manual Removal,Landscape,0.04000
0.02,Follow-up,Aquatic weed,All,Spray from boat,Riparian,0.00800
0.02,Follow-up,Aquatic weed,All,Spray from boat,Landscape,0.00800
0.02,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Riparian,0.01700
0.02,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Landscape,0.01700
0.02,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Riparian,0.03400
0.02,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Landscape,0.03400
0.02,Follow-up,Cactus,Adult,Cut & Spray,Riparian,0.00332
0.02,Follow-up,Cactus,Adult,Cut & Spray,Landscape,0.00220
0.02,Follow-up,Cactus,Adult,Stem inject,Riparian,0.00220
0.02,Follow-up,Cactus,Adult,Stem inject,Landscape,0.00220
0.02,Follow-up,Cactus,Seedling,Dig out and burn,Riparian,0.00220
0.02,Follow-up,Cactus,Seedling,Dig out and burn,Landscape,0.00220
0.02,Follow-up,Cactus,Seedling,Hand pull,Riparian,0.00136
0.02,Follow-up,Cactus,Seedling,Hand pull,Landscape,0.00136
0.02,Follow-up,Cactus,Young,Foliar Spray,Riparian,0.00136
0.02,Follow-up,Cactus,Young,Foliar Spray,Landscape,0.00136
0.02,Follow-up,Cactus,Young,Stem inject,Riparian,0.00136
0.02,Follow-up,Cactus,Young,Stem inject,Landscape,0.00136
0.02,Follow-up,Creeper,Adult,Basal Stem + diesel,Riparian,0.00136
0.02,Follow-up,Creeper,Adult,Basal Stem + diesel,Landscape,0.00136
0.02,Follow-up,Creeper,Adult,Cut & Spray,Riparian,0.00332
0.02,Follow-up,Creeper,Adult,Cut & Spray,Landscape,0.00220
0.02,Follow-up,Creeper,Adult,Cut & Spray + diesel,Riparian,0.00332
0.02,Follow-up,Creeper,Adult,Cut & Spray + diesel,Landscape,0.00220
0.02,Follow-up,Creeper,Seedling,Hand pull,Riparian,0.00136
0.02,Follow-up,Creeper,Seedling,Hand pull,Landscape,0.00136
0.02,Follow-up,Creeper,Young,Foliar Spray,Riparian,0.00136
0.02,Follow-up,Creeper,Young,Foliar Spray,Landscape,0.00136
0.02,Follow-up,Grass,Adult,Cut & Spray,Riparian,0.00220
0.02,Follow-up,Grass,Adult,Cut & Spray,Landscape,0.00220
0.02,Follow-up,Grass,Seedling,Hand pull,Riparian,0.00136
0.02,Follow-up,Grass,Seedling,Hand pull,Landscape,0.00136
0.02,Follow-up,Grass,Young,Foliar Spray,Riparian,0.00108
0.02,Follow-up,Grass,Young,Foliar Spray,Landscape,0.00108
0.02,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Riparian,0.00136
0.02,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Landscape,0.00136
0.02,Follow-up,Herbaceous,Adult,Cut & Spray,Riparian,0.00332
0.02,Follow-up,Herbaceous,Adult,Cut & Spray,Landscape,0.00220
0.02,Follow-up,Herbaceous,Adult,Cut & Spray + diesel,Riparian,0.00332
0.02,Follow-up,Herbaceous,Adult,Cut & Spray + diesel,Landscape,0.00220
0.02,Follow-up,Herbaceous,Seedling,Hand pull,Riparian,0.00136
0.02,Follow-up,Herbaceous,Seedling,Hand pull,Landscape,0.00136
0.02,Follow-up,Herbaceous,Young,Cut below ground,Riparian,0.00220
0.02,Follow-up,Herbaceous,Young,Cut below ground,Landscape,0.00220
0.02,Follow-up,Herbaceous,Young,Foliar Spray,Riparian,0.00136
0.02,Follow-up,Herbaceous,Young,Foliar Spray,Landscape,0.00136
0.02,Follow-up,Non sprouting tree,Adult,Felling,Riparian,0.00540
0.02,Follow-up,Non sprouting tree,Adult,Felling,Landscape,0.00360
0.02,Follow-up,Non sprouting tree,Adult,Ring bark,Riparian,0.00292
0.02,Follow-up,Non sprouting tree,Adult,Ring bark,Landscape,0.00292
0.02,Follow-up,Non sprouting tree,Seedling,Foliar Spray,Riparian,0.00108
0.02,Follow-up,Non sprouting tree,Seedling,Foliar Spray,Landscape,0.00108
0.02,Follow-up,Non sprouting tree,Seedling,Hand pull,Riparian,0.00136
0.02,Follow-up,Non sprouting tree,Seedling,Hand pull,Landscape,0.00136
0.02,Follow-up,Non sprouting tree,Young,Lopping / Pruning,Riparian,0.00332
0.02,Follow-up,Non sprouting tree,Young,Lopping / Pruning,Landscape,0.00220
0.02,Follow-up,Sprouting tree,Adult,Bark Strip,Riparian,0.00420
0.02,Follow-up,Sprouting tree,Adult,Bark Strip,Landscape,0.00420
0.02,Follow-up,Sprouting tree,Adult,Basal Stem + diesel,Riparian,0.00136
0.02,Follow-up,Sprouting tree,Adult,Basal Stem + diesel,Landscape,0.00136
0.02,Follow-up,Sprouting tree,Adult,Cut stump,Riparian,0.00784
0.02,Follow-up,Sprouting tree,Adult,Cut stump,Landscape,0.00524
0.02,Follow-up,Sprouting tree,Adult,Cut stump + diesel,Riparian,0.00784
0.02,Follow-up,Sprouting tree,Adult,Cut stump + diesel,Landscape,0.00524
0.02,Follow-up,Sprouting tree,Adult,Cut stump + oil,Riparian,0.00784
0.02,Follow-up,Sprouting tree,Adult,Cut stump + oil,Landscape,0.00524
0.02,Follow-up,Sprouting tree,Adult,Frill,Riparian,0.00420
0.02,Follow-up,Sprouting tree,Adult,Frill,Landscape,0.00420
0.02,Follow-up,Sprouting tree,Seedling,Foliar Spray,Riparian,0.00108
0.02,Follow-up,Sprouting tree,Seedling,Foliar Spray,Landscape,0.00108
0.02,Follow-up,Sprouting tree,Seedling,Hand pull,Riparian,0.00136
0.02,Follow-up,Sprouting tree,Seedling,Hand pull,Landscape,0.00136
0.02,Follow-up,Sprouting tree,Young,Bark Strip,Landscape,0.00360
0.02,Follow-up,Sprouting tree,Young,Bark Strip,Riparian,0.00360
0.02,Follow-up,Sprouting tree,Young,Basal Stem + diesel,Riparian,0.00136
0.02,Follow-up,Sprouting tree,Young,Basal Stem + diesel,Landscape,0.00136
0.02,Follow-up,Sprouting tree,Young,Lopping / Pruning,Riparian,0.00476
0.02,Follow-up,Sprouting tree,Young,Lopping / Pruning,Landscape,0.00320
0.02,Initial,All,All,Soil application,Landscape,0.00220
0.02,Initial,All,All,Soil application,Riparian,0.00220
0.02,Initial,Aquatic weed,All,Manual Removal,Riparian,0.04000
0.02,Initial,Aquatic weed,All,Manual Removal,Landscape,0.04000
0.02,Initial,Aquatic weed,All,Spray from boat,Riparian,0.00800
0.02,Initial,Aquatic weed,All,Spray from boat,Landscape,0.00800
0.02,Initial,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Riparian,0.01700
0.02,Initial,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Landscape,0.01700
0.02,Initial,Aquatic weed,All,Spray from shoreline (knapsack),Riparian,0.03400
0.02,Initial,Aquatic weed,All,Spray from shoreline (knapsack),Landscape,0.03400
0.02,Initial,Cactus,Adult,Cut & Spray,Riparian,0.00332
0.02,Initial,Cactus,Adult,Cut & Spray,Landscape,0.00220
0.02,Initial,Cactus,Adult,Stem inject,Riparian,0.00220
0.02,Initial,Cactus,Adult,Stem inject,Landscape,0.00220
0.02,Initial,Cactus,Seedling,Dig out and burn,Riparian,0.00220
0.02,Initial,Cactus,Seedling,Dig out and burn,Landscape,0.00220
0.02,Initial,Cactus,Seedling,Hand pull,Riparian,0.00136
0.02,Initial,Cactus,Seedling,Hand pull,Landscape,0.00136
0.02,Initial,Cactus,Young,Foliar Spray,Riparian,0.00136
0.02,Initial,Cactus,Young,Foliar Spray,Landscape,0.00136
0.02,Initial,Cactus,Young,Stem inject,Riparian,0.00136
0.02,Initial,Cactus,Young,Stem inject,Landscape,0.00136
0.02,Initial,Creeper,Adult,Basal Stem + diesel,Riparian,0.00136
0.02,Initial,Creeper,Adult,Basal Stem + diesel,Landscape,0.00136
0.02,Initial,Creeper,Adult,Cut & Spray,Riparian,0.00332
0.02,Initial,Creeper,Adult,Cut & Spray,Landscape,0.00220
0.02,Initial,Creeper,Adult,Cut & Spray + diesel,Riparian,0.00332
0.02,Initial,Creeper,Adult,Cut & Spray + diesel,Landscape,0.00220
0.02,Initial,Creeper,Seedling,Hand pull,Riparian,0.00136
0.02,Initial,Creeper,Seedling,Hand pull,Landscape,0.00136
0.02,Initial,Creeper,Young,Foliar Spray,Riparian,0.00136
0.02,Initial,Creeper,Young,Foliar Spray,Landscape,0.00136
0.02,Initial,Grass,Adult,Cut & Spray,Riparian,0.00220
0.02,Initial,Grass,Adult,Cut & Spray,Landscape,0.00220
0.02,Initial,Grass,Seedling,Hand pull,Riparian,0.00136
0.02,Initial,Grass,Seedling,Hand pull,Landscape,0.00136
0.02,Initial,Grass,Young,Foliar Spray,Riparian,0.00108
0.02,Initial,Grass,Young,Foliar Spray,Landscape,0.00108
0.02,Initial,Herbaceous,Adult,Basal Stem + diesel,Riparian,0.00136
0.02,Initial,Herbaceous,Adult,Basal Stem + diesel,Landscape,0.00136
0.02,Initial,Herbaceous,Adult,Cut & Spray,Riparian,0.00332
0.02,Initial,Herbaceous,Adult,Cut & Spray,Landscape,0.00220
0.02,Initial,Herbaceous,Adult,Cut & Spray + diesel,Riparian,0.00332
0.02,Initial,Herbaceous,Adult,Cut & Spray + diesel,Landscape,0.00220
0.02,Initial,Herbaceous,Seedling,Hand pull,Riparian,0.00136
0.02,Initial,Herbaceous,Seedling,Hand pull,Landscape,0.00136
0.02,Initial,Herbaceous,Young,Cut below ground,Riparian,0.00220
0.02,Initial,Herbaceous,Young,Cut below ground,Landscape,0.00220
0.02,Initial,Herbaceous,Young,Foliar Spray,Landscape,0.00136
0.02,Initial,Herbaceous,Young,Foliar Spray,Riparian,0.00136
0.02,Initial,Non sprouting tree,Adult,Felling,Riparian,0.00540
0.02,Initial,Non sprouting tree,Adult,Felling,Landscape,0.00360
0.02,Initial,Non sprouting tree,Adult,Ring bark,Riparian,0.00292
0.02,Initial,Non sprouting tree,Adult,Ring bark,Landscape,0.00292
0.02,Initial,Non sprouting tree,Seedling,Foliar Spray,Riparian,0.00108
0.02,Initial,Non sprouting tree,Seedling,Foliar Spray,Landscape,0.00108
0.02,Initial,Non sprouting tree,Seedling,Hand pull,Riparian,0.00136
0.02,Initial,Non sprouting tree,Seedling,Hand pull,Landscape,0.00136
0.02,Initial,Non sprouting tree,Young,Lopping / Pruning,Riparian,0.00332
0.02,Initial,Non sprouting tree,Young,Lopping / Pruning,Landscape,0.00220
0.02,Initial,Sprouting tree,Adult,Bark Strip,Riparian,0.00420
0.02,Initial,Sprouting tree,Adult,Bark Strip,Landscape,0.00420
0.02,Initial,Sprouting tree,Adult,Basal Stem + diesel,Riparian,0.00136
0.02,Initial,Sprouting tree,Adult,Basal Stem + diesel,Landscape,0.00136
0.02,Initial,Sprouting tree,Adult,Cut stump,Riparian,0.00784
0.02,Initial,Sprouting tree,Adult,Cut stump,Landscape,0.00524
0.02,Initial,Sprouting tree,Adult,Cut stump + diesel,Riparian,0.00784
0.02,Initial,Sprouting tree,Adult,Cut stump + diesel,Landscape,0.00524
0.02,Initial,Sprouting tree,Adult,Cut stump + oil,Riparian,0.00784
0.02,Initial,Sprouting tree,Adult,Cut stump + oil,Landscape,0.00524
0.02,Initial,Sprouting tree,Adult,Frill,Riparian,0.00420
0.02,Initial,Sprouting tree,Adult,Frill,Landscape,0.00420
0.02,Initial,Sprouting tree,Seedling,Foliar Spray,Riparian,0.00108
0.02,Initial,Sprouting tree,Seedling,Foliar Spray,Landscape,0.00108
0.02,Initial,Sprouting tree,Seedling,Hand pull,Riparian,0.00136
0.02,Initial,Sprouting tree,Seedling,Hand pull,Landscape,0.00136
0.02,Initial,Sprouting tree,Young,Bark Strip,Landscape,0.00360
0.02,Initial,Sprouting tree,Young,Bark Strip,Riparian,0.00360
0.02,Initial,Sprouting tree,Young,Basal Stem + diesel,Riparian,0.00136
0.02,Initial,Sprouting tree,Young,Basal Stem + diesel,Landscape,0.00136
0.02,Initial,Sprouting tree,Young,Lopping / Pruning,Riparian,0.00476
0.02,Initial,Sprouting tree,Young,Lopping / Pruning,Landscape,0.00320
0.03,Follow-up,All,All,Soil application,Landscape,0.00330
0.03,Follow-up,All,All,Soil application,Riparian,0.00330
0.03,Follow-up,Aquatic weed,All,Manual Removal,Riparian,0.06000
0.03,Follow-up,Aquatic weed,All,Manual Removal,Landscape,0.06000
0.03,Follow-up,Aquatic weed,All,Spray from boat,Riparian,0.01200
0.03,Follow-up,Aquatic weed,All,Spray from boat,Landscape,0.01200
0.03,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Riparian,0.02550
0.03,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Landscape,0.02550
0.03,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Riparian,0.05100
0.03,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Landscape,0.05100
0.03,Follow-up,Cactus,Adult,Cut & Spray,Riparian,0.00498
0.03,Follow-up,Cactus,Adult,Cut & Spray,Landscape,0.00330
0.03,Follow-up,Cactus,Adult,Stem inject,Riparian,0.00330
0.03,Follow-up,Cactus,Adult,Stem inject,Landscape,0.00330
0.03,Follow-up,Cactus,Seedling,Dig out and burn,Riparian,0.00330
0.03,Follow-up,Cactus,Seedling,Dig out and burn,Landscape,0.00330
0.03,Follow-up,Cactus,Seedling,Hand pull,Riparian,0.00204
0.03,Follow-up,Cactus,Seedling,Hand pull,Landscape,0.00204
0.03,Follow-up,Cactus,Young,Foliar Spray,Riparian,0.00204
0.03,Follow-up,Cactus,Young,Foliar Spray,Landscape,0.00204
0.03,Follow-up,Cactus,Young,Stem inject,Riparian,0.00204
0.03,Follow-up,Cactus,Young,Stem inject,Landscape,0.00204
0.03,Follow-up,Creeper,Adult,Basal Stem + diesel,Riparian,0.00204
0.03,Follow-up,Creeper,Adult,Basal Stem + diesel,Landscape,0.00204
0.03,Follow-up,Creeper,Adult,Cut & Spray,Riparian,0.00498
0.03,Follow-up,Creeper,Adult,Cut & Spray,Landscape,0.00330
0.03,Follow-up,Creeper,Adult,Cut & Spray + diesel,Riparian,0.00498
0.03,Follow-up,Creeper,Adult,Cut & Spray + diesel,Landscape,0.00330
0.03,Follow-up,Creeper,Seedling,Hand pull,Riparian,0.00204
0.03,Follow-up,Creeper,Seedling,Hand pull,Landscape,0.00204
0.03,Follow-up,Creeper,Young,Foliar Spray,Riparian,0.00204
0.03,Follow-up,Creeper,Young,Foliar Spray,Landscape,0.00204
0.03,Follow-up,Grass,Adult,Cut & Spray,Riparian,0.00330
0.03,Follow-up,Grass,Adult,Cut & Spray,Landscape,0.00330
0.03,Follow-up,Grass,Seedling,Hand pull,Riparian,0.00204
0.03,Follow-up,Grass,Seedling,Hand pull,Landscape,0.00204
0.03,Follow-up,Grass,Young,Foliar Spray,Riparian,0.00162
0.03,Follow-up,Grass,Young,Foliar Spray,Landscape,0.00162
0.03,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Riparian,0.00204
0.03,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Landscape,0.00204
0.03,Follow-up,Herbaceous,Adult,Cut & Spray,Riparian,0.00498
0.03,Follow-up,Herbaceous,Adult,Cut & Spray,Landscape,0.00330
